age,duration,campaign,pdays,previous,emp_var_rate,cons_price_idx,cons_conf_idx,euribor3m,nr_employed
30,487,2,999,0,-1.8,92.893,-46.2,1.313,5099.1
39,346,4,999,0,1.1,93.994,-36.4,4.855,5191
25,227,1,999,0,1.4,94.465,-41.8,4.962,5228.1
38,17,3,999,0,1.4,94.465,-41.8,4.959,5228.1
47,58,1,999,0,-0.1,93.2,-42,4.191,5195.8
32,128,3,999,2,-1.1,94.199,-37.5,0.884,4963.6
32,290,4,999,0,-1.1,94.199,-37.5,0.879,4963.6
41,44,2,999,0,-0.1,93.2,-42,4.191,5195.8
31,68,1,999,1,-0.1,93.2,-42,4.153,5195.8
35,170,1,999,0,1.1,93.994,-36.4,4.855,5191
25,301,1,999,0,1.4,93.918,-42.7,4.958,5228.1
36,148,1,999,0,1.4,93.918,-42.7,4.968,5228.1
36,97,2,999,0,1.1,93.994,-36.4,4.859,5191
47,211,2,999,0,1.4,94.465,-41.8,4.958,5228.1
29,553,2,999,0,-1.8,92.893,-46.2,1.313,5099.1
27,698,2,999,0,1.4,93.918,-42.7,4.963,5228.1
44,191,6,999,0,1.4,93.918,-42.7,4.957,5228.1
46,59,4,999,0,1.4,93.918,-42.7,4.962,5228.1
45,38,2,999,0,1.4,93.444,-36.1,4.965,5228.1
50,849,1,999,0,1.4,93.918,-42.7,4.961,5228.1
55,326,6,999,0,1.4,93.918,-42.7,4.962,5228.1
39,222,1,12,2,-1.8,93.369,-34.8,0.639,5008.7
29,626,3,999,0,1.4,93.444,-36.1,4.967,5228.1
40,119,1,999,0,1.4,93.444,-36.1,4.965,5228.1
44,388,7,999,0,1.1,93.994,-36.4,4.864,5191
38,479,1,999,0,1.4,93.444,-36.1,4.965,5228.1
36,446,1,999,0,1.1,93.994,-36.4,4.856,5191
28,68,2,999,1,-1.8,92.893,-46.2,1.299,5099.1
47,127,1,999,0,1.1,93.994,-36.4,4.86,5191
34,109,1,999,0,1.4,93.444,-36.1,4.963,5228.1
38,113,1,999,1,-1.8,92.843,-50,1.687,5099.1
33,393,3,999,0,1.4,94.465,-41.8,4.865,5228.1
51,151,2,999,0,-2.9,92.963,-40.8,1.268,5076.2
30,256,1,999,0,1.4,94.465,-41.8,4.864,5228.1
48,42,7,999,0,1.4,93.444,-36.1,4.962,5228.1
28,525,1,999,0,1.4,94.465,-41.8,4.864,5228.1
36,57,1,999,0,1.1,93.994,-36.4,4.859,5191
46,499,1,999,0,-0.1,93.2,-42,4.12,5195.8
31,84,1,999,1,-1.8,92.893,-46.2,1.334,5099.1
20,137,3,999,3,-1.1,94.601,-49.5,0.977,4963.6
35,31,1,999,0,-1.8,92.893,-46.2,1.344,5099.1
38,430,1,999,0,1.4,94.465,-41.8,4.967,5228.1
76,126,1,999,1,-1.7,94.027,-38.3,0.899,4991.6
45,211,3,999,0,1.4,93.918,-42.7,4.961,5228.1
32,340,1,999,0,-1.8,92.893,-46.2,1.313,5099.1
39,412,2,999,0,-1.8,92.893,-46.2,1.327,5099.1
32,132,1,999,0,-0.1,93.2,-42,4.592,5195.8
29,79,2,999,0,-1.8,92.893,-46.2,1.299,5099.1
44,341,2,999,0,1.4,93.444,-36.1,4.97,5228.1
32,157,3,999,0,1.4,93.918,-42.7,4.957,5228.1
56,252,1,999,2,-2.9,92.963,-40.8,1.26,5076.2
33,263,1,999,0,-1.8,92.893,-46.2,1.327,5099.1
39,215,3,999,0,1.4,93.444,-36.1,4.966,5228.1
24,89,2,3,1,-3.4,92.379,-29.8,0.77,5017.5
33,143,1,999,0,-1.8,92.893,-46.2,1.327,5099.1
58,40,2,999,0,1.4,94.465,-41.8,4.866,5228.1
29,10,27,999,0,1.4,94.465,-41.8,4.959,5228.1
31,113,1,999,0,1.4,93.444,-36.1,4.964,5228.1
27,191,5,999,0,1.1,93.994,-36.4,4.857,5191
60,481,1,999,1,-1.1,94.199,-37.5,0.886,4963.6
55,233,1,999,2,-3.4,92.431,-26.9,0.739,5017.5
37,204,2,999,0,-1.8,92.893,-46.2,1.334,5099.1
52,403,1,6,1,-1.8,93.749,-34.6,0.654,5008.7
46,180,1,999,0,-1.8,93.075,-47.1,1.405,5099.1
42,16,2,999,0,-1.8,92.893,-46.2,1.281,5099.1
35,447,3,999,0,1.4,93.918,-42.7,4.96,5228.1
49,81,1,999,0,-3.4,92.431,-26.9,0.754,5017.5
29,361,3,999,0,1.4,94.465,-41.8,4.865,5228.1
32,1091,2,5,1,-0.1,93.2,-42,4.191,5195.8
37,395,1,999,1,-1.8,92.893,-46.2,1.313,5099.1
39,432,4,999,0,1.4,94.465,-41.8,4.865,5228.1
51,596,3,999,0,1.4,93.918,-42.7,4.962,5228.1
28,59,3,999,0,-1.8,92.893,-46.2,1.291,5099.1
34,77,4,999,0,-1.8,92.893,-46.2,1.281,5099.1
31,768,1,999,0,1.4,93.444,-36.1,4.966,5228.1
31,96,5,999,0,1.4,93.444,-36.1,4.962,5228.1
31,357,2,999,0,1.4,94.465,-41.8,4.864,5228.1
38,459,2,999,0,1.1,93.994,-36.4,4.855,5191
33,11,6,999,0,1.4,94.465,-41.8,4.959,5228.1
32,264,12,999,0,1.4,93.444,-36.1,4.966,5228.1
54,698,1,999,0,-1.8,93.075,-47.1,1.405,5099.1
41,204,2,999,0,1.4,94.465,-41.8,4.961,5228.1
59,93,7,999,0,1.4,93.444,-36.1,4.963,5228.1
57,374,1,2,1,-1.8,93.075,-47.1,1.365,5099.1
38,252,1,999,0,-0.1,93.2,-42,4.076,5195.8
46,158,1,999,0,1.1,93.994,-36.4,4.857,5191
37,95,1,999,0,-0.1,93.2,-42,4.153,5195.8
47,835,3,999,0,1.4,94.465,-41.8,4.961,5228.1
45,505,1,999,0,1.4,93.444,-36.1,4.964,5228.1
36,16,1,999,0,1.4,93.918,-42.7,4.962,5228.1
40,300,5,999,0,1.4,93.918,-42.7,4.96,5228.1
38,180,2,999,1,-0.1,93.2,-42,4.153,5195.8
44,390,2,999,0,1.4,94.465,-41.8,4.961,5228.1
25,274,2,999,0,1.1,93.994,-36.4,4.857,5191
30,135,5,999,0,1.4,93.918,-42.7,4.961,5228.1
43,257,2,999,0,-0.1,93.2,-42,4.153,5195.8
58,268,3,999,0,1.1,93.994,-36.4,4.857,5191
31,157,6,999,0,1.1,93.994,-36.4,4.856,5191
53,477,2,999,0,1.4,93.918,-42.7,4.961,5228.1
52,91,1,999,0,1.4,93.444,-36.1,4.968,5228.1
37,76,1,999,1,-1.8,93.075,-47.1,1.405,5099.1
58,103,1,999,0,1.4,93.918,-42.7,4.961,5228.1
37,436,3,999,0,-1.8,92.893,-46.2,1.266,5099.1
38,191,1,999,0,-1.8,92.893,-46.2,1.313,5099.1
33,483,2,999,0,-1.8,93.075,-47.1,1.41,5099.1
45,250,1,999,0,-1.8,92.893,-46.2,1.25,5099.1
44,259,1,999,0,1.1,93.994,-36.4,4.858,5191
38,389,2,999,0,1.4,93.918,-42.7,4.966,5228.1
34,7,1,999,0,-1.7,94.055,-39.8,0.702,4991.6
47,123,1,999,0,-2.9,92.469,-33.6,1.029,5076.2
59,92,1,999,0,-2.9,92.469,-33.6,1.085,5076.2
51,297,2,999,0,1.4,93.444,-36.1,4.964,5228.1
31,406,2,999,0,1.4,94.465,-41.8,4.864,5228.1
56,104,1,999,1,-0.1,93.2,-42,4.12,5195.8
39,135,2,999,0,1.4,94.465,-41.8,4.961,5228.1
41,854,1,999,0,-0.1,93.2,-42,4.153,5195.8
41,147,1,999,0,-0.1,93.2,-42,4.076,5195.8
53,203,4,999,0,1.1,93.994,-36.4,4.86,5191
35,149,4,999,0,1.4,93.918,-42.7,4.962,5228.1
58,144,1,999,0,-1.8,92.893,-46.2,1.334,5099.1
25,394,2,999,0,1.4,94.465,-41.8,4.959,5228.1
35,523,1,999,1,-1.8,92.893,-46.2,1.344,5099.1
28,73,1,999,0,1.4,93.918,-42.7,4.963,5228.1
55,197,3,999,1,-1.8,92.893,-46.2,1.25,5099.1
54,108,1,999,0,1.1,93.994,-36.4,4.855,5191
45,80,2,999,0,1.4,93.918,-42.7,4.962,5228.1
32,114,1,999,1,-1.8,93.075,-47.1,1.41,5099.1
50,122,3,999,0,1.4,93.444,-36.1,4.963,5228.1
75,109,1,999,1,-1.8,93.075,-47.1,1.405,5099.1
33,1161,4,999,0,1.1,93.994,-36.4,4.858,5191
29,181,2,999,0,1.4,93.444,-36.1,4.967,5228.1
45,239,1,999,0,-1.8,92.893,-46.2,1.327,5099.1
38,360,1,999,0,-1.8,93.075,-47.1,1.392,5099.1
24,314,1,999,0,1.1,93.994,-36.4,4.858,5191
41,984,1,999,0,1.4,93.444,-36.1,4.963,5228.1
58,663,1,999,0,-2.9,92.963,-40.8,1.262,5076.2
34,157,2,999,0,1.1,93.994,-36.4,4.857,5191
34,141,2,999,0,-1.1,94.767,-50.8,1.05,4963.6
37,374,1,999,0,1.1,93.994,-36.4,4.856,5191
53,706,1,999,0,1.4,94.465,-41.8,4.959,5228.1
54,797,14,999,0,1.4,93.918,-42.7,4.961,5228.1
32,250,1,999,0,-0.1,93.2,-42,4.153,5195.8
42,311,6,999,0,1.4,93.918,-42.7,4.962,5228.1
28,63,2,3,1,-2.9,92.201,-31.4,0.851,5076.2
33,111,1,999,0,1.1,93.994,-36.4,4.864,5191
41,148,2,999,0,-1.8,93.075,-47.1,1.405,5099.1
31,49,1,999,0,-0.1,93.2,-42,4.076,5195.8
40,171,4,999,0,1.1,93.994,-36.4,4.86,5191
53,242,1,999,1,-3.4,92.649,-30.1,0.716,5017.5
40,257,1,999,0,1.4,93.444,-36.1,4.965,5228.1
82,279,3,3,2,-1.1,94.199,-37.5,0.877,4963.6
28,113,1,999,0,1.4,93.918,-42.7,4.96,5228.1
30,246,3,999,0,-0.1,93.2,-42,4.12,5195.8
31,309,1,6,3,-1.7,94.215,-40.3,0.835,4991.6
32,168,1,999,0,1.4,93.444,-36.1,4.965,5228.1
54,153,1,999,0,1.4,93.444,-36.1,4.963,5228.1
31,152,1,999,0,1.4,93.918,-42.7,4.963,5228.1
50,90,2,999,0,1.4,93.444,-36.1,4.968,5228.1
47,117,2,999,0,1.4,93.918,-42.7,4.961,5228.1
31,149,1,999,0,-1.8,92.893,-46.2,1.281,5099.1
32,640,1,999,0,-0.1,93.2,-42,4.076,5195.8
46,199,2,999,2,-1.1,94.767,-50.8,1.048,4963.6
47,1114,2,999,0,-1.8,92.893,-46.2,1.299,5099.1
32,74,2,999,2,-1.1,94.767,-50.8,1.048,4963.6
52,190,1,999,0,-0.1,93.2,-42,4.191,5195.8
45,738,3,6,1,-1.1,94.601,-49.5,1.029,4963.6
32,374,2,999,0,-1.8,92.893,-46.2,1.313,5099.1
71,224,1,999,0,-1.7,94.027,-38.3,0.904,4991.6
49,344,2,999,0,1.1,93.994,-36.4,4.855,5191
46,148,10,999,0,1.4,94.465,-41.8,4.864,5228.1
46,383,1,999,0,-1.1,94.767,-50.8,1.028,4963.6
38,35,6,999,0,1.4,93.444,-36.1,4.965,5228.1
57,153,2,999,0,1.4,93.444,-36.1,4.965,5228.1
41,772,2,999,1,-1.8,92.893,-46.2,1.299,5099.1
44,124,3,999,0,1.1,93.994,-36.4,4.864,5191
47,345,7,999,0,1.4,93.444,-36.1,4.964,5228.1
40,951,2,999,0,1.1,93.994,-36.4,4.858,5191
57,188,1,999,0,1.1,93.994,-36.4,4.857,5191
27,128,1,3,1,-1.8,93.369,-34.8,0.637,5008.7
52,809,1,999,0,1.4,93.444,-36.1,4.966,5228.1
34,192,1,999,0,-2.9,92.963,-40.8,1.26,5076.2
42,154,1,999,0,1.1,93.994,-36.4,4.857,5191
51,17,3,999,0,1.4,94.465,-41.8,4.959,5228.1
45,100,1,999,0,1.1,93.994,-36.4,4.855,5191
56,317,1,999,0,-1.8,92.893,-46.2,1.244,5099.1
41,93,1,999,0,-1.8,92.893,-46.2,1.327,5099.1
44,111,1,999,0,1.4,93.444,-36.1,4.964,5228.1
50,293,3,3,1,-1.8,92.893,-46.2,1.354,5099.1
54,119,3,999,0,1.4,93.444,-36.1,4.963,5228.1
51,393,1,999,0,1.4,93.444,-36.1,4.964,5228.1
30,30,1,999,0,-0.1,93.2,-42,4.12,5195.8
42,38,8,999,0,1.4,94.465,-41.8,4.959,5228.1
41,442,11,999,0,1.4,94.465,-41.8,4.865,5228.1
47,187,2,999,0,-0.1,93.2,-42,4.153,5195.8
35,113,1,999,1,-1.8,93.075,-47.1,1.405,5099.1
58,64,1,999,1,-0.1,93.2,-42,4.153,5195.8
50,629,2,999,0,1.4,93.918,-42.7,4.96,5228.1
41,92,1,999,0,1.1,93.994,-36.4,4.856,5191
38,147,1,999,0,-1.8,92.893,-46.2,1.334,5099.1
32,151,2,999,0,-0.1,93.2,-42,4.076,5195.8
21,259,1,999,1,-2.9,92.201,-31.4,0.884,5076.2
46,423,1,999,0,1.1,93.994,-36.4,4.856,5191
42,888,3,999,0,-0.1,93.2,-42,4.021,5195.8
55,76,13,999,0,1.4,93.444,-36.1,4.964,5228.1
29,207,1,6,1,-1.1,94.767,-50.8,1.05,4963.6
30,100,1,999,0,1.4,94.465,-41.8,4.959,5228.1
53,63,1,999,0,-0.1,93.2,-42,4.12,5195.8
35,265,2,999,0,-0.1,93.2,-42,4.12,5195.8
46,273,4,999,0,1.1,93.994,-36.4,4.856,5191
30,85,2,999,0,1.1,93.994,-36.4,4.857,5191
43,261,1,999,0,1.4,93.918,-42.7,4.961,5228.1
42,136,4,999,0,1.4,93.918,-42.7,4.96,5228.1
32,711,1,999,0,1.4,93.918,-42.7,4.962,5228.1
41,88,1,999,1,-1.8,92.893,-46.2,1.313,5099.1
28,72,3,999,1,-1.8,92.893,-46.2,1.291,5099.1
24,113,6,999,0,1.4,93.918,-42.7,4.963,5228.1
43,307,1,999,0,-1.8,93.075,-47.1,1.405,5099.1
30,39,1,999,0,1.4,93.444,-36.1,4.97,5228.1
55,63,2,999,0,-0.1,93.2,-42,4.153,5195.8
51,64,1,999,0,1.4,93.918,-42.7,4.959,5228.1
22,154,2,999,0,1.4,93.918,-42.7,4.957,5228.1
32,126,1,999,0,-0.1,93.2,-42,4.076,5195.8
43,127,3,999,0,1.4,93.918,-42.7,4.968,5228.1
39,156,5,999,0,1.4,94.465,-41.8,4.865,5228.1
52,111,8,999,0,1.4,93.918,-42.7,4.961,5228.1
38,202,3,999,1,-1.8,92.893,-46.2,1.244,5099.1
59,353,4,999,0,-1.8,93.075,-47.1,1.453,5099.1
31,159,2,999,0,1.1,93.994,-36.4,4.857,5191
76,347,4,6,1,-3.4,92.649,-30.1,0.715,5017.5
44,76,3,999,0,1.4,94.465,-41.8,4.96,5228.1
30,85,2,999,0,1.1,93.994,-36.4,4.864,5191
32,174,1,999,0,1.4,94.465,-41.8,4.959,5228.1
41,280,3,999,0,1.4,94.465,-41.8,4.967,5228.1
33,686,4,999,0,1.4,93.444,-36.1,4.963,5228.1
59,94,1,999,0,1.4,93.444,-36.1,4.963,5228.1
28,225,3,999,0,1.4,93.918,-42.7,4.96,5228.1
33,474,2,999,0,-1.8,92.893,-46.2,1.313,5099.1
53,76,1,999,0,1.4,93.444,-36.1,4.964,5228.1
41,377,6,999,0,-1.8,92.843,-50,1.778,5099.1
55,185,1,999,0,1.4,93.918,-42.7,4.962,5228.1
45,121,1,999,0,1.1,93.994,-36.4,4.856,5191
35,126,4,999,0,1.4,93.918,-42.7,4.968,5228.1
31,160,3,999,0,1.4,93.918,-42.7,4.96,5228.1
53,313,4,999,0,1.4,93.444,-36.1,4.965,5228.1
35,141,1,999,0,-1.8,92.893,-46.2,1.327,5099.1
45,219,1,999,0,-1.8,92.893,-46.2,1.327,5099.1
34,267,2,999,0,1.4,94.465,-41.8,4.961,5228.1
42,406,3,999,1,-1.8,93.075,-47.1,1.405,5099.1
36,151,3,999,0,-0.1,93.2,-42,4.076,5195.8
44,228,3,999,0,1.1,93.994,-36.4,4.856,5191
50,73,2,999,0,1.4,93.444,-36.1,4.965,5228.1
36,355,1,999,0,-3.4,92.379,-29.8,0.773,5017.5
27,102,9,999,0,1.4,93.918,-42.7,4.963,5228.1
40,97,3,999,0,1.1,93.994,-36.4,4.859,5191
25,35,6,999,0,1.4,94.465,-41.8,4.96,5228.1
29,116,2,999,0,1.4,93.444,-36.1,4.966,5228.1
44,83,3,999,0,1.1,93.994,-36.4,4.856,5191
57,473,2,999,0,1.1,93.994,-36.4,4.856,5191
30,605,1,999,0,1.4,93.918,-42.7,4.963,5228.1
37,585,2,999,0,1.4,93.444,-36.1,4.967,5228.1
57,94,1,999,0,1.4,93.918,-42.7,4.961,5228.1
32,255,1,999,0,1.4,93.918,-42.7,4.963,5228.1
54,1868,2,10,1,-1.1,94.767,-50.8,1.035,4963.6
58,846,1,999,0,1.4,93.444,-36.1,4.97,5228.1
29,158,5,999,0,1.4,93.444,-36.1,4.963,5228.1
60,73,1,999,0,1.4,93.444,-36.1,4.966,5228.1
27,404,2,999,0,1.4,94.465,-41.8,4.864,5228.1
30,383,3,999,0,1.4,93.918,-42.7,4.961,5228.1
42,51,1,999,0,1.1,93.994,-36.4,4.859,5191
48,87,1,999,0,1.4,94.465,-41.8,4.864,5228.1
35,167,2,999,0,1.4,93.444,-36.1,4.97,5228.1
46,440,1,999,0,1.1,93.994,-36.4,4.857,5191
57,673,1,999,0,1.1,93.994,-36.4,4.857,5191
30,151,3,999,0,1.4,94.465,-41.8,4.865,5228.1
28,48,4,999,1,-1.8,93.075,-47.1,1.41,5099.1
34,309,1,999,0,1.1,93.994,-36.4,4.856,5191
42,236,1,999,0,1.4,94.465,-41.8,4.958,5228.1
30,288,1,999,0,-0.1,93.2,-42,4.153,5195.8
27,111,1,999,0,-1.7,94.027,-38.3,0.9,4991.6
23,87,1,999,0,1.4,93.444,-36.1,4.964,5228.1
43,193,1,999,0,1.1,93.994,-36.4,4.857,5191
59,318,1,999,0,1.1,93.994,-36.4,4.857,5191
31,209,1,999,2,-1.7,94.027,-38.3,0.898,4991.6
43,173,2,999,0,1.1,93.994,-36.4,4.858,5191
52,503,2,999,0,1.1,93.994,-36.4,4.857,5191
26,127,1,999,0,1.4,93.918,-42.7,4.963,5228.1
24,101,6,999,0,1.1,93.994,-36.4,4.855,5191
35,370,1,999,1,-0.1,93.2,-42,4.076,5195.8
59,1207,4,999,1,-1.7,94.055,-39.8,0.742,4991.6
28,262,1,999,0,1.1,93.994,-36.4,4.855,5191
37,211,2,999,0,1.1,93.994,-36.4,4.857,5191
46,609,1,999,1,-1.8,93.075,-47.1,1.405,5099.1
26,806,3,6,2,-1.7,94.215,-40.3,0.861,4991.6
40,77,6,999,0,1.4,93.444,-36.1,4.963,5228.1
56,335,2,999,0,1.4,93.918,-42.7,4.961,5228.1
40,459,1,999,0,-1.8,92.893,-46.2,1.344,5099.1
29,266,2,999,0,1.1,93.994,-36.4,4.859,5191
28,225,1,999,1,-1.8,92.893,-46.2,1.266,5099.1
48,257,7,999,0,1.1,93.994,-36.4,4.86,5191